name,coordinate
e3d6a72f-a64a-416f-a453-94ea81814ccf.jpg,33_10_85_64_1;1_30_79_111_1;193_26_118_74_1;887_0_171_174_1;761_155_305_218_1;835_0_53_44_1
a6f649c5-3f2b-494f-ac7a-d8cb769e8747.jpg,7_2_52_34_1;463_0_75_40_1;590_27_115_108_1;485_134_139_165_1;217_56_176_196_1
a6f6bf8c-cf39-4908-9dac-452207dfc25e.jpg,402_207_169_197_1;11_280_236_204_1;271_0_94_70_1;58_1_87_38_1;452_0_88_47_1
a6f98b70-64be-4835-b4bb-c11dcad3950a.jpg,196_0_77_45_1;338_136_125_133_1;578_350_217_150_1;1046_23_22_39_1;1044_73_23_45_1;1052_95_12_40_1
a6f9ce73-f52a-425d-a5bc-4af8980d7037.jpg,98_20_70_33_1;189_50_97_85_1;364_13_123_141_1;586_38_101_63_1;410_329_153_168_1;689_154_88_95_1;644_348_230_150_1;189_0_44_16_1
a6f9db85-46d3-41c4-bb2d-8a5f0c9afbe4.jpg,42_0_50_25_1;105_0_77_20_1;0_2_68_157_1;229_97_104_93_1;3_192_67_203_1;127_235_188_214_1;1028_0_37_11_1
a6fa7f3d-697a-4292-b42a-3936f19de906.jpg,895_65_135_92_1;58_116_150_121_1;571_190_149_183_1;896_329_173_171_1;528_1_62_32_1;1006_5_62_77_1
a6fb5706-db1b-4ea7-920f-dfd0657660ee.jpg,966_57_103_57_1;372_3_118_26_1;528_4_78_67_1;699_39_137_70_1;402_81_120_106_1;646_133_112_119_1;899_427_154_75_1;613_298_207_199_1;97_18_82_48_1;186_0_51_23_1;250_429_231_71_1
a6fcaaac-75fe-487e-acc6-dde7b23a952a.jpg,98_0_51_35_1;226_0_43_26_1;407_0_96_14_1;12_0_102_69_1;169_0_80_62_1;661_1_104_56_1;604_134_138_158_1;890_188_160_144_1;465_415_231_85_1;938_430_128_69_1;174_235_187_178_1
a6fe4eff-42db-43d8-857a-a9258c4b15f4.jpg,425_155_216_209_1;155_100_182_164_1
59b6ca68-92c6-48ec-94ff-48e38a76cee8.jpg,76_0_103_12_1;266_0_121_51_1;579_61_131_77_1;0_75_105_92_1;249_135_123_140_1;391_235_146_152_1;0_307_71_185_1;0_139_67_83_1
59b85cde-7997-44d2-8983-ef3e01e39cfc.jpg,15_0_42_25_1;77_7_78_40_1;181_1_97_36_1;737_16_133_57_1;802_1_133_55_1;618_35_148_83_1;850_75_152_72_1;130_88_90_72_1;335_93_116_120_1;21_137_189_203_1;510_0_51_24_1;573_0_69_24_1;897_460_172_40_1
59b9776b-a07a-4440-b110-bfe15c468f66.jpg,572_0_155_57_1;890_0_153_57_1;176_258_218_191_1;1026_0_39_19_1
